name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
We Don't Waste,Denver,CO,USA,Local,"As an innovative provider of food for the hungry, We Don’t Waste collects excess food from venues, caterers, restaurants, and other food purveyors and distributes the food to Denver’s under-served populations. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2009,https://www.wedontwaste.org/,https://www.facebook.com/WeDontWasteDenver,https://twitter.com/WeDontWaste,https://www.linkedin.com/company/wedontwaste.org,info@wedontwaste.org
Wefood,Copenhagen,,Denmark,Local,"Wefood sells goods that regular supermarkets can no longer sell due to overdue ‘best before’ dates, incorrect labels or damaged packaging. The products found in Wefood are still edible and safe to consume according to the Danish food legislation, but have simply lost their value to the partner donating them.",Nonprofit,Prevention,Secondary Marketplace,Brick and Mortar,Secondary Resellers,2016,https://www.danchurchaid.org/wefood,https://www.facebook.com/Noedhjaelp,https://twitter.com/noedhjaelp,https://www.linkedin.com/company/danchurchaid,mail@dca.dk
Whole Vine,Sonoma,CA,USA,National,WholeVine is committed to helping the fine wine industry reduce its environmental footprint by generating new uses for vineyard byproducts. What once was cast off and used for compost soon will be handled with the same respect as the juice used to make fine wine. ,For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2009,http://www.wholevine.com/,https://www.facebook.com/WholeVine,https://twitter.com/thewholevine,https://www.linkedin.com/company/whole-vine?trk=top_nav_home,info@wholevine.com
WikiFoods - Quantum Designs,Cambridge,MA,USA,National,"WikiFoods, Inc. a subsidiary of Quantum Designs, is reinventing packaging by developing plastic-free and edible food & beverage packaging solutions inspired by the way nature packages fruits and vegetables.",For-Profit,Prevention,Shelf-Life Extension,Packaging Adjustments,Packaging Adjustments,2012,http://quantumdesigns.com/wikifoods/,,,https://www.linkedin.com/company/3178631?goback=%2Enpv_120878663,hello@wikifoodsinc.com
Winnow,London,,United Kingdom,National,The Winnow System makes it quick and easy to record exactly how food is being wasted through smart meter technology attached to your food waste bin. Winnow's services are available to both commercial kitchens and individual residents. ,For-Profit,Prevention,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,2013,www.winnowsolutions.com/,https://www.facebook.com/winnowsolutions,https://twitter.com/WinnowSolutions,https://www.linkedin.com/company/winnow-ltd-?trk=company_logo,info@winnowsolutions.com
Wise Up on Waste - Unilever Food Solutions,Lisle,IL,USA,National,Wise Up On Waste is a NEW app for _x0003_professional kitchens to conveniently monitor _x0003_and track food waste. The app helps you to identify_x0003_ when and where you are generating the most _x0003_food waste and what the potential cost saving _x0003_to your business can be if you reduce your waste _x0003_by 20%.,For-Profit,Prevention,Supply Chain and Operational Efficiency,Waste Tracking & Analytics,Waste Tracking & Analytics,,http://www.unileverfoodsolutions.ie/our-services/your-kitchen/wise-waste-app,https://www.facebook.com/UnileverFoodSolutionsIRE,,,
WISErg,Redmond,WA,USA,National,WISErg has developed a waste-to-resource conversion process that captures the nutrient value of discarded food and makes it available to commercial and residential growers in a patented liquid fertilizer that eliminates the drawbacks - and exceeds the benefits - of other natural or synthetic soil additives. The fertilizer is certified for organic agricultural production.,For-Profit,Recycling,Specialty Recycled Products,Agricultural Products,,2010,https://wiserg.com/,https://www.facebook.com/WISErgCorp/,https://twitter.com/wisergcorp,https://www.linkedin.com/company/wiserg,info@wiserg.com
Wonky ,Cardiff,,United Kingdom,National,We are on a mission to create the most sustainable juice brand in Europe & save 300 tonnes of wonky produce by April 2017. ,For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://www.wonkydrinks.co.uk/,https://www.facebook.com/wonkydrinks/,,,hello@wonkydrinks.co.uk
Woup Soup,Cambridge,,United Kingdom,Local,"At WOUP we make tasty soup from wonky and unloved veg that would otherwise go to waste.  Our soup is vibrant, hearty and wholesome, and is sold in portion size packages perfect for heating at the office or at home.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2015,http://www.woupsoup.org.uk/,https://www.facebook.com/woupsoup/,https://twitter.com/WOUPSOUP,https://www.linkedin.com/in/alex-collis-10892837,hello@woupsoup.org.uk
WTRMLN WTR,New York,NY,USA,National,"By creating this meaningful relationship with farmers, we were able to utilize these “discarded” melons to create what has already become one of the most exciting new beverages in the market. And in doing so, we were able to realize our collective dream of bringing a new and better product to the consumer, one that is of the highest standard from both a consumption and sustainability perspective.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,2013,http://wtrmlnwtr.com/,https://www.facebook.com/wtrmln.wtr/,https://twitter.com/WTRMLNWTR,https://www.linkedin.com/company/wtrmln-wtr?trk=top_nav_home,hello@wtrmlnwtr.com
Yeo Valley Family Farm,Bristol,,United Kingdom,National,"Left-Yeovers yogurt variety, made with ingredients that would have otherwise gone to waste. Their first effort, made with figs, blood orange juice and carrot puree raised funds for food waste charity Fareshare.",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,1993,https://www.yeovalley.co.uk/,https://www.facebook.com/YeoValley/,https://twitter.com/yeovalley,,sally@yeovalley.co.uk
Ynsect,Evry,,France,National,"At Ynsect, we use insects to bioconvert organic substrates, such as cereal byproducts, and transform those insects into sustainable nutrient resource for agro-industries and bioactive compounds for green chemistry.",For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2011,http://www.ynsect.com/,https://www.facebook.com/Ynsect-122147991212360/?ref=br_tf,,https://www.linkedin.com/company/ynsect?trk=top_nav_home,contact@ynsect.com
Yo No Desperdicio [I Don't Waste],,,Spain,National,"The platform offers a very simple food-sharing method. Users log into the website or app and post an ad describing the food they want to offer, complete with the item’s name, picture capturing its current state, portion, location and an expiration date. Both parties then arrange for the free delivery of the products.",Nonprofit,Recovery,Donation Coordination,Consumer Food Recovery,,,http://yonodesperdicio.org/,https://www.facebook.com/yonodesperdicio,https://twitter.com/nodesperdicio,,cuentame@yonodesperdicio.org
Your Local (App),,,Denmark,Local,Shops in your locality often end up with food that goes to waste if they are not being sold here and now. With Your Local App allows you to buy them at a reduced price if you can turn to at short notice.,For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,,https://www.yourlocal.org/,https://www.facebook.com/YourLocalApp/,,,hello@yourlocal.org
Yume,,,Australia,National,Yume Food is a brand new marketplace that helps connect businesses that have premium surplus or excess produce with other businesses that can use it. ,For-Profit,Prevention,Secondary Marketplace,Business to Business,Secondary Resellers,2015,http://theyumeapp.com/,https://www.facebook.com/yumefoodaustralia/,https://twitter.com/yumefoodaus?lang=en,https://www.linkedin.com/company/the-yume-app,
Zest Fresh - Intelleflex,San Jose,CA,USA,National,"Intelleflex® provides on-demand, data visibility solutions for cold chain and asset management. Its award winning XC3 Technology™ RFID products and ZEST Data Services enable a range of solutions for fresh produce, perishable food, and pharmaceutical temperature monitoring, asset tracking, personnel monitoring, retail, healthcare and other applications.",For-Profit,Prevention,Supply Chain and Operational Efficiency,Improved Inventory Management,Improved Inventory Management,2003,http://intelleflex.com/zestfresh,,,https://www.linkedin.com/company/intelleflex?trk=top_nav_home,info@zestlabs.com
Zera Food Recycler,Benton Harbor,MI,USA,National,"Zera™ Food Recycler is designed to fit seamlessly into your kitchen and make the most of your food — turning today's food scraps into tomorrow's ready-to-use, homemade fertilizer.",For-Profit,Recycling,Composting,Home Composting,Home Composting,2016,https://www.zera.com/,,,,
Zero Percent,Chicago,IL,USA,Local,"Zero Percent is a system designed to help businesses move surplus, edible food by posting donations on our online food donations marketplace. ",For-Profit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2013,https://www.zeropercent.us/,https://www.facebook.com/zeropercent.foodwaste/,https://twitter.com/zeropercent?lang=en,https://www.linkedin.com/company/zero-percent?trk=top_nav_home,hello@zeropercent.us
Zero To Go,Beacon,NY,USA,Local,We are an education-based waste management company focused on composting and recycling. We provide zero waste event services throughout the Hudson Valley.  ,For-Profit,Recycling,Composting,Community Composting,Community Composting,2009,http://www.zerotogo.org/,https://www.facebook.com/zerotogo/,https://twitter.com/ZER02go,https://www.linkedin.com/in/sarah-womer-6393102,
Zero Waste Energy,Lafayette,CA,USA,National,"Zero Waste Energy, LLC was founded in 2009 and incorporated in 2010 in San Jose, California. Zero Waste Energy's principal goal has been to design, construct, and operate solid waste handling and advanced composting facilities that optimize waste diversion and the generation of renewable energy in an efficient and environmentally sound manner.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2009,http://zerowasteenergy.com/,,,https://www.linkedin.com/company/zero-waste-energy?trk=top_nav_home,peterr@bhsequip.com
